NoOfEvals,ArexJggOffsetKTabletP14K5_0,ArexJggOffsetKTabletP14K5_1,ArexJggOffsetKTabletP14K5_2
73100,9.739411639875768E-5,1.4633117762236599E-4,1.718203734836552E-5
74100,6.0957467511722395E-5,1.2233880857728203E-4,1.533331630273271E-5
75100,3.641470065921952E-5,8.464773613262512E-5,8.240380926822865E-6
76100,1.026395017741748E-5,4.789754750414697E-5,3.659071368460193E-6
77100,1.026395017741748E-5,4.032311555298043E-5,3.659071368460193E-6
78100,6.105055315846181E-6,1.89987065660901E-5,2.140598901276087E-6
79100,6.2021225419662645E-6,1.7764287597529052E-5,1.817552490888284E-6
80100,4.528035313348972E-6,8.779172820357165E-6,1.0761084308819439E-6
81100,2.9855755023814165E-6,6.579981692669784E-6,7.720474598734455E-7
82100,1.530443996280254E-6,4.384541844676184E-6,4.716637949316832E-7
83100,1.8712816241936635E-6,2.5085695161787608E-6,4.184856768223652E-7
84100,9.704185269193682E-7,2.370577393361573E-6,2.2285332185018528E-7
85100,4.976300829674399E-7,1.2302626148189705E-6,1.5348633209807764E-7
86100,4.976300829674399E-7,1.2122511749395026E-6,1.341718911172529E-7
86600,4.0111888913744483E-7,5.3835391746322E-7,7.214257171678004E-8
88100,1.8239738630012584E-7,5.05207374668804E-7,
89100,1.4717626985066816E-7,3.8551091598560314E-7,
90100,7.455553855300842E-8,1.4034654374161834E-7,
91100,,1.291256588968016E-7,
92100,,1.112317729040048E-7,
92200,,8.934211679594919E-8,
