NoOfEvals,RexJggOffsetKTabletP14K5_0,RexJggOffsetKTabletP14K5_1,RexJggOffsetKTabletP14K5_2
134100,2.144077788726633,1.1962060312449079,3.0623183226772945
135100,2.1046674044902978,1.1918060652725653,3.046585163258169
136100,2.0959559199117703,1.190679683237315,2.977654669298773
137100,2.0608366227925137,1.1766383521534998,2.952908634164405
138100,2.0297923697352296,1.1748878804858758,2.9086600450343325
139100,2.0176582141584123,1.1663596507801823,2.89061987190118
140100,1.9921417599755296,1.1573620983810455,2.8688511320855357
141100,1.9811571562540866,1.1486085772305947,2.8076563770324725
142100,1.9764164144955052,1.1364330952057151,2.762934573870434
143100,1.9572948911189005,1.1291856660493986,2.7449132628293658
144100,1.9476526795247784,1.1201896478547049,2.7167142784273235
145100,1.9274778877329048,1.117402459762016,2.6795526125080564
146100,1.9241589613726078,1.1092752599229427,2.6463194306978446
147100,1.9124779374829768,1.0982273151826762,2.628486346855942
148100,1.9014539143085913,1.092204822259305,2.6060274446720233
149100,1.8868513490729986,1.084723312718021,2.5678098503466833
150100,1.8699117923661976,1.073355807143462,2.5489225585724538
151100,1.8595944713931716,1.0680679630106138,2.496642133056581
152100,1.8441522751685344,1.065288131252879,2.445995361781619
153100,1.8324728217633661,1.0581440006669978,2.411844121991596
154100,1.808219743366305,1.0546838653650117,2.3746082759268794
155100,1.8018910474456458,1.044231920231308,2.3626914280920315
156100,1.7889954796180803,1.0423279722727974,2.323206412393787
157100,1.7776049311869544,1.033990374986941,2.3092035449279953
158100,1.7693896248510474,1.0307677069528733,2.2897724275395226
159100,1.7545295855887961,1.026785990460136,2.266427817649128
160100,1.7475907263875254,1.021659911893897,2.237516018515837
161100,1.7412814632055833,1.0181186218867937,2.198460063828598
162100,1.7346042243007107,1.0115102016394066,2.1728808063007197
163100,1.7264570841288238,1.0063333344933503,2.1539588292080563
164100,1.708683983217988,1.003062267007344,2.119930926485345
165100,1.7024965051818488,0.9948554436593317,2.0918118814403623
166100,1.6911017397553483,0.9889870005469498,2.0774236932578396
167100,1.6779004283062522,0.9858059158645122,2.044672643885603
168100,1.6731515707040923,0.9759939309057507,2.0272474434560728
169100,1.6610462376571893,0.9699117503047539,2.0041836840396234
170100,1.6544036208359982,0.9687404020345431,1.963218909636009
171100,1.6485383316810223,0.9617391757295288,1.9580495139423126
172100,1.634727386076636,0.9491291989927169,1.9409704843462234
173100,1.6305763314696942,0.9423508709545922,1.9170581639215203
174100,1.6257750602103505,0.9423508709545922,1.8911459555512966
175100,1.6161857637276351,0.9358957671649767,1.8789633494028326
176100,1.5983353187436686,0.9259152070110825,1.863957269756414
177100,1.58816262150683,0.9252184941458608,1.851225810302183
178100,1.5745824734622549,0.9189485054288369,1.8415471949075224
179100,1.5591114150168301,0.9050593626418851,1.8302768516769563
