NoOfEvals,ArexJggOffsetRastriginP14K5_0,ArexJggOffsetRastriginP14K5_1,ArexJggOffsetRastriginP14K5_2
38100,115.18565382442746,123.89689443709665,121.06758469943985
39100,120.87115509740008,127.24480687082665,122.90353198736149
40100,132.80720714563168,120.18367669590025,114.68655815824313
41100,112.95310067360435,127.04515286776518,115.18928662195947
42100,120.82906424254135,110.54268553741625,115.30244864153389
43100,104.16674000613442,110.54268553741625,94.17389997527903
44100,108.53574054944737,93.97460342142743,92.98867920886069
45100,110.61868375238633,93.97460342142743,92.98867920886069
46100,110.94758897202094,105.57848259963485,92.98867920886069
47100,109.81812953800197,105.57848259963485,98.05479019960802
48100,109.81812953800197,105.57848259963485,112.81592906512849
49100,110.94758897202094,105.57848259963485,112.81592906512849
50100,110.94758897202094,105.57848259963485,92.40080845987225
51100,108.51937096624152,103.30361737128473,92.40080845987225
52100,90.42461153234291,103.30361737128473,92.40080845987225
53100,109.23939237554914,114.86782010454746,115.85180180464242
54100,120.99389845030652,92.80136883175301,115.54812901784148
55100,104.77601140224247,92.80136883175301,107.0883759480457
56100,121.90079905480074,114.49122823258014,102.70967345613194
57100,93.13044950146849,94.79566062223,111.7351568526823
58100,122.76283745191999,94.79566062223,111.7351568526823
59100,108.10930945748781,102.56060560220142,116.6805079885982
60100,105.0115723099152,86.49559081924086,106.24729904296186
61100,105.0115723099152,99.21104505366615,100.73767746856082
62100,105.0115723099152,87.90826213927039,103.48916887215792
63100,108.32767803772917,88.13423827125602,104.84413318472589
64100,101.77142734147442,96.30023542007802,104.84413318472589
65100,110.86425307889527,90.86380606706487,99.71014617304121
66100,73.19260509666422,82.4134632619745,99.3977718600463
67100,113.0050153749981,74.92670139523946,80.0103867326024
68100,105.00867068810709,62.98752290012432,65.2428691034641
69100,101.54667684792602,43.459397223108155,65.9499628082608
70100,108.67428735285876,57.303650525427074,65.9499628082608
71100,81.66632699431061,51.05108354554243,67.65091451217633
72100,87.46059135211402,47.06367312473586,43.59773572862895
73100,87.46059135211402,34.70561632152461,32.77570858473193
74100,92.12661551787303,17.443024833587028,22.36248671342156
75100,70.8150246008182,19.936885893851553,12.664652147097943
76100,76.11741602177287,12.604023104496715,11.06203759617659
77100,75.41425094500858,6.972510253031331,9.136174206571624
78100,61.80031861328483,5.012771794969156,6.568253022551637
79100,57.46599685246492,4.569353359867193,1.9758686714279978
80100,39.75874450251526,3.2406434834768483,3.284259164415147
81100,38.05051534536233,2.520895610819629,1.8797222493492622
82100,27.853194588661736,2.058303720574118,1.3028880724507754
83100,18.970184157795586,1.6893454938384842,0.9325695769739131
84100,16.657385043946746,1.4121516498472726,0.5819822392291307
85100,9.029351483938598,1.3984855909479794,0.4244702588928675
86100,7.327481686234796,1.1689401650202793,0.26821559313621357
87100,4.2600994047087095,1.1345358659959661,0.16504248408506328
88100,3.796584438061684,1.080487662441147,0.16693801630358251
89100,2.9780607838317597,1.0642880286413696,0.06991861044302716
90100,1.4007545301452442,1.0381347168081767,0.04087652933998598
91100,1.008782388057762,1.027313260880117,0.019770901520002937
92100,0.5759961619749507,1.014810186510788,0.01807699558350606
93100,0.5199016240016334,1.0102349209658623,0.013531355072165852
94100,0.38231505915068986,1.004098041373247,0.009058091059181095
95100,0.22755632992519104,1.0010796302838543,0.005709243476376358
96100,0.1697003733117306,0.9989811876354935,0.003716127488351262
