NoOfEvals,RexJggKTabletP7K5_0,RexJggKTabletP7K5_1,RexJggKTabletP7K5_2
132100,0.22825340226565155,0.06342456999882148,0.052859981812099444
133100,0.22824169390918794,0.06341936399486273,0.052857588036055475
134100,0.22823670639551222,0.06340903325917796,0.052855037144475835
135100,0.22823185383563904,0.06340045352854537,0.05285125151150143
136100,0.22822826422066564,0.06338697771519788,0.05285062485594474
137100,0.2282255529933159,0.06337690578876759,0.05284766688621939
138100,0.22821780984201437,0.06336345346138515,0.05284670371931401
139100,0.2282108553449145,0.06335154206773312,0.052844956150816406
140100,0.22819895505176813,0.06334104104221744,0.05284356432546688
141100,0.22819383466500412,0.06332636441715345,0.05284182406009664
142100,0.228185773444227,0.06331169219016672,0.052840609554361595
143100,0.22817990107923702,0.06329957216326415,0.052839613117938465
144100,0.228168327642721,0.06328254319892289,0.05283854145460535
145100,0.22814931996689017,0.06327161179339057,0.05283745357092602
146100,0.2281360621596489,0.06326548365497822,0.052836280513243676
147100,0.2281245024179071,0.06325843580402331,0.05283483822770804
148100,0.22811387844186676,0.06325256394677793,0.052833299506433576
149100,0.22810593833530657,0.06324914458770566,0.05283212204994279
150100,0.228094935000886,0.0632451766658043,0.05283116334957794
151100,0.22808484526802303,0.06323704835512685,0.05283025729144674
152100,0.22807788737444465,0.06322911374774785,0.05282915673713444
153100,0.22807135619446783,0.06322179682536067,0.05282810492342918
154100,0.22806677179368298,0.06321699303297126,0.05282531552458799
155100,0.22806199115305084,0.06321664201209537,0.05282409610259514
156100,0.22805781528052002,0.06321482013522228,0.05282307558118291
157100,0.22804779629170907,0.06321372258146406,0.05282166911383124
158100,0.2280409527236045,0.0632125618502651,0.05282077248312091
159100,0.22802606695304578,0.06321151677166947,0.05282032480254594
160100,0.22801206440690336,0.06320936476781877,0.05281977898965665
161100,0.2280015096761278,0.06320700894607642,0.05281945353770417
162100,0.22798134652388685,0.06320527045092533,0.05281856278244808
163100,0.2279658522309993,0.06320322084745131,0.05281827295878414
164100,0.2279572963834717,0.06320124116825214,0.0528179604508835
165100,0.22794259043118845,0.06319956493684861,0.05281755600561539
166100,0.22793082183301813,0.06319804768550355,0.05281720092071055
167100,0.22792367425456184,0.06319533429352547,0.052816358962807924
168100,0.22790923349971282,0.06319359473510618,0.052815840188788446
169100,0.22789864752459932,0.06319130135974067,0.05281519599555153
170100,0.22789185369595913,0.06318657265684953,0.05281462053860907
171100,0.22788242045729343,0.06318263042702174,0.05281411696878051
172100,0.2278731392052392,0.06317982243678899,0.05281318823049431
173100,0.22786439051673935,0.06317256521333058,0.05281243398547677
174100,0.2278544140038786,0.0631694717732614,0.05281195487422897
175100,0.2278412145583699,0.06316551690641467,0.052811402392925824
176100,0.22783358062973055,0.06316197689420494,0.05281099953210818
177100,0.22782274718917409,0.06315992094058988,0.05281034201214306
178100,0.22780594419310957,0.06315875112766538,0.05281012259080062
179100,0.22779951618092878,0.06315722796549526,0.05280963747331717
180100,0.22779106698828308,0.06315655644812565,0.05280903818143373
181100,0.2277852978743656,0.06315565866161045,0.05280877683843981
182100,0.22778134863949598,0.06315434170464818,0.05280812867552412
183100,0.2277759599340779,0.06315329268769466,0.05280749365601956
184100,0.22777044203975885,0.0631515349859011,0.052806814050625865
