NoOfEvals,UndxMggKTabletP14K5_0,UndxMggKTabletP14K5_1,UndxMggKTabletP14K5_2
84100,2839.610240553352,3835.747085995824,4080.9410718213257
85100,2839.610240553352,3835.747085995824,4080.9410718213257
86100,2839.610240553352,2105.8074297223093,4080.9410718213257
87100,2839.610240553352,2105.8074297223093,3280.8818282975303
88100,2839.610240553352,2105.8074297223093,3280.8818282975303
89100,2839.610240553352,2105.8074297223093,3280.8818282975303
90100,2839.610240553352,2105.8074297223093,3280.8818282975303
91100,2529.0717900776654,2105.8074297223093,3280.8818282975303
92100,2529.0717900776654,2105.8074297223093,2947.007710621896
93100,2529.0717900776654,2105.8074297223093,2947.007710621896
94100,2529.0717900776654,2105.8074297223093,2947.007710621896
95100,2529.0717900776654,2105.8074297223093,2947.007710621896
96100,2529.0717900776654,2105.8074297223093,2947.007710621896
97100,2529.0717900776654,2105.8074297223093,2947.007710621896
98100,2529.0717900776654,2105.8074297223093,2947.007710621896
99100,2215.050179504574,2105.8074297223093,2947.007710621896
100100,2215.050179504574,2105.8074297223093,2649.3654560518867
101100,2215.050179504574,2105.8074297223093,2649.3654560518867
102100,2215.050179504574,2105.8074297223093,2649.3654560518867
103100,2215.050179504574,2105.8074297223093,2355.9365110904473
104100,2215.050179504574,2105.8074297223093,2355.9365110904473
105100,2215.050179504574,2105.8074297223093,2355.9365110904473
106100,2109.858672330091,2105.8074297223093,2355.9365110904473
107100,2109.858672330091,2105.8074297223093,2355.9365110904473
108100,1970.2536594635044,2105.8074297223093,2355.9365110904473
109100,1527.8415670314162,2105.8074297223093,2355.9365110904473
110100,1527.8415670314162,1814.4845237810878,2355.9365110904473
111100,1527.8415670314162,1814.4845237810878,2355.9365110904473
112100,738.6018358139246,1814.4845237810878,2355.9365110904473
113100,738.6018358139246,1540.3809153763389,1502.8928885119565
114100,738.6018358139246,1540.3809153763389,1369.42227807431
115100,738.6018358139246,1540.3809153763389,1369.42227807431
116100,738.6018358139246,1540.3809153763389,1369.42227807431
117100,738.6018358139246,1540.3809153763389,1369.42227807431
118100,738.6018358139246,1486.8040127710124,1369.42227807431
119100,738.6018358139246,1486.8040127710124,1369.42227807431
120100,738.6018358139246,1486.8040127710124,1369.42227807431
121100,738.6018358139246,1217.4300406108177,1369.42227807431
122100,738.6018358139246,899.059966454105,1369.42227807431
123100,738.6018358139246,899.059966454105,1369.42227807431
124100,738.6018358139246,899.059966454105,1369.42227807431
125100,738.6018358139246,899.059966454105,1369.42227807431
126100,738.6018358139246,899.059966454105,1369.42227807431
127100,710.6851419146259,899.059966454105,1369.42227807431
128100,710.6851419146259,899.059966454105,1369.42227807431
129100,710.6851419146259,655.6668522178084,1369.42227807431
130100,710.6851419146259,655.6668522178084,1165.5658826159931
131100,710.6851419146259,655.6668522178084,1165.5658826159931
132100,710.6851419146259,655.6668522178084,1165.5658826159931
133100,710.6851419146259,655.6668522178084,1165.5658826159931
134100,710.6851419146259,655.6668522178084,1165.5658826159931
135100,710.6851419146259,655.6668522178084,1165.5658826159931
136100,710.6851419146259,655.6668522178084,792.1955489882544
137100,710.6851419146259,655.6668522178084,792.1955489882544
138100,710.6851419146259,595.4638182682594,792.1955489882544
139100,710.6851419146259,595.4638182682594,682.0087459140539
140100,710.6851419146259,595.4638182682594,682.0087459140539
141100,405.34492879747296,595.4638182682594,682.0087459140539
142100,405.34492879747296,595.4638182682594,510.94593712532895
143100,405.34492879747296,595.4638182682594,510.94593712532895
144100,405.34492879747296,364.28893233607306,510.94593712532895
145100,405.34492879747296,364.28893233607306,510.94593712532895
146100,405.34492879747296,364.28893233607306,510.94593712532895
147100,405.34492879747296,364.28893233607306,510.94593712532895
148100,405.34492879747296,364.28893233607306,510.94593712532895
149100,405.34492879747296,364.28893233607306,492.74206304535966
150100,405.34492879747296,364.28893233607306,492.74206304535966
151100,405.34492879747296,290.04891882403257,492.74206304535966
152100,405.34492879747296,290.04891882403257,492.74206304535966
153100,405.34492879747296,290.04891882403257,492.74206304535966
154100,405.34492879747296,272.9828258268048,492.74206304535966
155100,373.5385788794889,272.9828258268048,333.0717479507491
156100,373.5385788794889,272.9828258268048,333.0717479507491
157100,373.5385788794889,272.9828258268048,229.2930685644218
158100,373.5385788794889,272.9828258268048,229.2930685644218
159100,373.5385788794889,272.9828258268048,229.2930685644218
160100,373.5385788794889,272.9828258268048,229.2930685644218
161100,373.5385788794889,272.9828258268048,229.2930685644218
162100,373.5385788794889,272.9828258268048,229.2930685644218
163100,373.5385788794889,272.9828258268048,229.2930685644218
164100,373.5385788794889,272.9828258268048,217.28420153801483
165100,373.5385788794889,272.9828258268048,217.28420153801483
166100,373.5385788794889,272.9828258268048,217.28420153801483
167100,283.9228037879791,272.9828258268048,217.28420153801483
168100,283.9228037879791,272.9828258268048,217.28420153801483
169100,283.9228037879791,272.9828258268048,217.28420153801483
170100,283.9228037879791,272.9828258268048,217.28420153801483
171100,283.9228037879791,272.9828258268048,217.28420153801483
172100,283.9228037879791,272.9828258268048,217.28420153801483
173100,263.862846044366,272.9828258268048,217.28420153801483
174100,263.862846044366,272.9828258268048,217.28420153801483
175100,263.862846044366,272.9828258268048,217.28420153801483
176100,263.862846044366,248.6631824546852,217.28420153801483
177100,263.862846044366,248.6631824546852,217.28420153801483
